RAD	WIND	MINT	MAXT	DOY	VPR	OKTA	RAIN	AHA
1001	5.84	23.8	28.61	74	1.03	5	4604.6	24.8
1002	5.77	23.9	29.13	75	0.92	6	4609.2	24.9
1004	5	24.41	31.48	76	0.93	7	4618.4	25.41
1005	5.27	25.5	32.41	77	0.99	1	4623	26.5
1006	5.71	26.29	33.16	78	0.89	2	4627.6	27.29
1030	6.97	25.32	31.07	79	0.99	3	4738	26.32
990	5.32	25.19	31.31	80	0.97	4	4554	26.19
1010	5.97	25.26	30.8	81	0.95	5	4646	26.26
1005	5	25.58	30.91	82	1.12	6	4623	26.58
1000	5.81	25.13	30.08	83	1	7	4600	26.13
995	5.73	24.03	29.12	84	1.21	1	4577	25.03
999	5.68	24.3	28.69	85	1.09	2	4595.4	25.3
1001	5.84	23.8	28.61	86	1.03	3	4604.6	24.8
1002	5.77	23.9	29.13	87	0.92	4	4609.2	24.9
1004	5	24.41	31.48	88	0.93	5	4618.4	25.41
1005	5.27	25.5	32.41	89	0.99	6	4623	26.5
1006	5.71	26.29	33.16	90	0.89	7	4627.6	27.29
1030	6.97	25.32	31.07	91	0.99	1	4738	26.32
990	5.32	25.19	31.31	92	0.97	2	4554	26.19
1010	5.97	25.26	30.8	93	0.95	3	4646	26.26
1005	5	25.58	30.91	94	1.12	4	4623	26.58
1000	5.81	25.13	30.08	95	1	5	4600	26.13
995	5.73	24.03	29.12	96	1.21	6	4577	25.03
999	5.68	24.3	28.69	97	1.09	7	4595.4	25.3
1001	5.84	23.8	28.61	98	1.03	1	4604.6	24.8
1002	5.77	23.9	29.13	99	0.92	2	4609.2	24.9
1004	5	24.41	31.48	100	0.93	3	4618.4	25.41
1005	5.27	25.5	32.41	101	0.99	4	4623	26.5
1006	5.71	26.29	33.16	102	0.89	5	4627.6	27.29
1030	6.97	25.32	31.07	103	0.99	6	4738	26.32
990	5.32	25.19	31.31	104	0.89	7	4554	26.19
1010	5.97	25.26	30.8	105	0.99	1	4646	26.26
1005	5	25.58	30.91	106	0.97	2	4623	26.58
1000	5.81	25.13	30.08	107	0.95	3	4600	26.13
995	5.73	24.03	29.12	108	1.12	4	4577	25.03
999	5.68	24.3	28.69	109	1	5	4595.4	25.3
1001	5.84	23.8	28.61	110	1.21	6	4604.6	24.8
1002	5.77	23.9	29.13	111	1.09	7	4609.2	24.9
1004	5	24.41	31.48	112	1.03	1	4618.4	25.41
1005	5.27	25.5	32.41	113	0.92	2	4623	26.5
1006	5.71	26.29	33.16	114	0.93	3	4627.6	27.29
990	5.32	25.19	31.31	115	0.99	4	4554	26.19
1010	5.97	25.26	30.8	116	0.89	5	4646	26.26
1005	5	25.58	30.91	117	0.99	6	4623	26.58
1000	5.81	25.13	30.08	118	0.97	7	4600	26.13
995	5.73	24.03	29.12	119	0.95	1	4577	25.03
999	5.68	24.3	28.69	120	1.12	2	4595.4	25.3
1001	5.84	23.8	28.61	121	1	3	4604.6	24.8
1002	5.77	23.9	29.13	122	1.21	4	4609.2	24.9
1004	5	24.41	31.48	123	1.09	5	4618.4	25.41
1005	5.27	25.5	32.41	124	1.03	6	4623	26.5
1006	5.71	26.29	33.16	125	0.92	7	4627.6	27.29
1030	6.97	25.32	31.07	126	0.93	1	4738	26.32
990	5.32	25.19	31.31	127	0.99	2	4554	26.19
1010	5.97	25.26	30.8	128	0.89	3	4646	26.26
1005	5	25.58	30.91	129	0.99	4	4623	26.58
1000	5.81	25.13	30.08	130	0.97	5	4600	26.13
995	5.73	24.03	29.12	131	0.95	6	4577	25.03
999	5.68	24.3	28.69	132	1.12	7	4595.4	25.3
1001	5.84	23.8	28.61	133	1	1	4604.6	24.8
1002	5.77	23.9	29.13	134	1.21	2	4609.2	24.9
1004	5	24.41	31.48	135	1.09	3	4618.4	25.41
1005	5.27	25.5	32.41	136	1.03	4	4623	26.5
1006	5.71	26.29	33.16	137	0.92	5	4627.6	27.29
1005	5.27	25.5	32.41	138	0.93	6	4623	26.5
1006	5.71	26.29	33.16	139	0.99	7	4627.6	27.29
1030	6.97	25.32	31.07	140	0.89	1	4738	26.32
990	5.32	25.19	31.31	141	0.99	2	4554	26.19
1010	5.97	25.26	30.8	142	0.89	3	4646	26.26
1005	5	25.58	30.91	143	0.99	4	4623	26.58
1000	5.81	25.13	30.08	144	0.97	5	4600	26.13
995	5.73	24.03	29.12	145	0.95	6	4577	25.03
999	5.68	24.3	28.69	146	1.12	7	4595.4	25.3
1001	5.84	23.8	28.61	147	1	1	4604.6	24.8
1002	5.77	23.9	29.13	148	1.21	2	4609.2	24.9
1004	5	24.41	31.48	149	1.09	3	4618.4	25.41
1005	5.27	25.5	32.41	150	1.03	4	4623	26.5
1006	5.71	26.29	33.16	151	0.92	5	4627.6	27.29
1005	5	25.58	30.91	152	0.93	6	4623	26.58
1000	5.81	25.13	30.08	153	0.99	7	4600	26.13
995	5.73	24.03	29.12	154	0.89	1	4577	25.03
999	5.68	24.3	28.69	155	0.99	2	4595.4	25.3
999	5.68	24.3	28.69	156	0.89	3	4595.4	25.3
1001	5.84	23.8	28.61	157	0.99	4	4604.6	24.8
1002	5.77	23.9	29.13	158	0.97	5	4609.2	24.9
1004	5	24.41	31.48	159	0.95	6	4618.4	25.41
1005	5.27	25.5	32.41	160	1.12	7	4623	26.5
1006	5.71	26.29	33.16	161	1	1	4627.6	27.29
1030	6.97	25.32	31.07	162	1.21	2	4738	26.32
990	5.32	25.19	31.31	163	1.09	3	4554	26.19
1010	5.97	25.26	30.8	164	1.03	4	4646	26.26
1005	5	25.58	30.91	165	0.92	5	4623	26.58
1000	5.81	25.13	30.08	166	0.93	6	4600	26.13
995	5.73	24.03	29.12	167	0.99	7	4577	25.03
999	5.68	24.3	28.69	168	0.89	1	4595.4	25.3
1001	5.84	23.8	28.61	169	0.99	2	4604.6	24.8
1002	5.77	23.9	29.13	170	0.97	3	4609.2	24.9
1004	5	24.41	31.48	171	0.95	4	4618.4	25.41
1005	5.27	25.5	32.41	172	1.12	5	4623	26.5
1006	5.71	26.29	33.16	173	1	6	4627.6	27.29
990	5.32	25.19	31.31	174	1.21	7	4554	26.19
1010	5.97	25.26	30.8	175	1.09	1	4646	26.26
1005	5	25.58	30.91	176	1.03	2	4623	26.58
1000	5.81	25.13	30.08	177	0.92	3	4600	26.13
995	5.73	24.03	29.12	178	0.93	4	4577	25.03
999	5.68	24.3	28.69	179	0.99	5	4595.4	25.3
1001	5.84	23.8	28.61	180	0.89	6	4604.6	24.8
1002	5.77	23.9	29.13	181	0.99	7	4609.2	24.9
1004	5	24.41	31.48	182	0.89	1	4618.4	25.41
1005	5.27	25.5	32.41	183	0.99	2	4623	26.5
1006	5.71	26.29	33.16	184	0.97	3	4627.6	27.29
1030	6.97	25.32	31.07	185	0.95	4	4738	26.32
990	5.32	25.19	31.31	186	1.12	5	4554	26.19
1010	5.97	25.26	30.8	187	1	6	4646	26.26
1005	5	25.58	30.91	188	1.21	7	4623	26.58
1000	5.81	25.13	30.08	189	1.09	1	4600	26.13
995	5.73	24.03	29.12	190	1.03	2	4577	25.03
999	5.68	24.3	28.69	191	0.92	3	4595.4	25.3
1001	5.84	23.8	28.61	192	0.93	4	4604.6	24.8
1002	5.77	23.9	29.13	193	0.99	5	4609.2	24.9
1004	5	24.41	31.48	194	0.89	6	4618.4	25.41
1005	5.27	25.5	32.41	195	0.99	7	4623	26.5
1006	5.71	26.29	33.16	196	0.97	1	4627.6	27.29
1005	5	25.58	30.91	197	0.95	2	4623	26.58
1000	5.81	25.13	30.08	198	1.12	3	4600	26.13
995	5.73	24.03	29.12	199	1	4	4577	25.03
999	5.68	24.3	28.69	200	1.21	5	4595.4	25.3
1001	5.84	23.8	28.61	201	1.09	6	4604.6	24.8
1002	5.77	23.9	29.13	202	1.03	7	4609.2	24.9
1004	5	24.41	31.48	203	0.92	1	4618.4	25.41
1005	5.27	25.5	32.41	204	0.93	2	4623	26.5
1006	5.71	26.29	33.16	205	0.99	3	4627.6	27.29
999	5.68	24.3	28.69	206	0.89	4	4595.4	25.3
1001	5.84	23.8	28.61	207	0.99	5	4604.6	24.8
1002	5.77	23.9	29.13	208	0.97	6	4609.2	24.9
1004	5	24.41	31.48	209	0.95	7	4618.4	25.41
1005	5.27	25.5	32.41	210	1.12	1	4623	26.5
1006	5.71	26.29	33.16	211	1	2	4627.6	27.29
1030	6.97	25.32	31.07	212	1.21	3	4738	26.32
990	5.32	25.19	31.31	213	1.09	4	4554	26.19
1010	5.97	25.26	30.8	214	1.03	5	4646	26.26
1005	5	25.58	30.91	215	0.92	6	4623	26.58
1000	5.81	25.13	30.08	216	0.93	7	4600	26.13
995	5.73	24.03	29.12	217	0.99	1	4577	25.03
999	5.68	24.3	28.69	218	0.89	2	4595.4	25.3
1001	5.84	23.8	28.61	219	0.99	3	4604.6	24.8
1002	5.77	23.9	29.13	220	0.89	4	4609.2	24.9
1004	5	24.41	31.48	221	0.99	5	4618.4	25.41
1005	5.27	25.5	32.41	222	0.97	6	4623	26.5
1006	5.71	26.29	33.16	223	0.95	7	4627.6	27.29
990	5.32	25.19	31.31	224	1.12	1	4554	26.19
1010	5.97	25.26	30.8	225	1	2	4646	26.26
1005	5	25.58	30.91	226	1.21	3	4623	26.58
1000	5.81	25.13	30.08	227	1.09	4	4600	26.13
995	5.73	24.03	29.12	228	1.03	5	4577	25.03
999	5.68	24.3	28.69	229	0.92	6	4595.4	25.3
1001	5.84	23.8	28.61	230	0.93	7	4604.6	24.8
1002	5.77	23.9	29.13	231	0.99	1	4609.2	24.9
1004	5	24.41	31.48	232	0.89	2	4618.4	25.41
1005	5.27	25.5	32.41	233	0.99	3	4623	26.5
1006	5.71	26.29	33.16	234	0.89	4	4627.6	27.29
1030	6.97	25.32	31.07	235	0.99	5	4738	26.32
990	5.32	25.19	31.31	236	0.97	6	4554	26.19
1010	5.97	25.26	30.8	237	0.95	7	4646	26.26
1005	5	25.58	30.91	238	1.12	1	4623	26.58
1000	5.81	25.13	30.08	239	1	2	4600	26.13
995	5.73	24.03	29.12	240	1.21	3	4577	25.03
999	5.68	24.3	28.69	241	1.09	4	4595.4	25.3
1001	5.84	23.8	28.61	242	1.03	5	4604.6	24.8
1002	5.77	23.9	29.13	243	0.92	6	4609.2	24.9
1004	5	24.41	31.48	244	0.93	7	4618.4	25.41
1005	5.27	25.5	32.41	245	0.99	1	4623	26.5
1006	5.71	26.29	33.16	246	0.89	2	4627.6	27.29
1005	5	25.58	30.91	247	0.99	3	4623	26.58
1000	5.81	25.13	30.08	248	0.97	4	4600	26.13
995	5.73	24.03	29.12	249	0.95	5	4577	25.03
999	5.68	24.3	28.69	250	1.12	6	4595.4	25.3
1001	5.84	23.8	28.61	251	1	7	4604.6	24.8
1002	5.77	23.9	29.13	252	1.21	1	4609.2	24.9
1004	5	24.41	31.48	253	1.09	2	4618.4	25.41
1005	5.27	25.5	32.41	254	1.03	3	4623	26.5
1006	5.71	26.29	33.16	255	0.92	4	4627.6	27.29
1030	6.97	25.32	31.07	256	0.93	5	4738	26.32
990	5.32	25.19	31.31	257	0.99	6	4554	26.19
1010	5.97	25.26	30.8	258	0.89	7	4646	26.26
1005	5	25.58	30.91	259	0.99	1	4623	26.58
1000	5.81	25.13	30.08	260	0.97	2	4600	26.13
995	5.73	24.03	29.12	261	0.95	3	4577	25.03
999	5.68	24.3	28.69	262	1.12	4	4595.4	25.3
1001	5.84	23.8	28.61	263	1	5	4604.6	24.8
1002	5.77	23.9	29.13	264	1.21	6	4609.2	24.9
1004	5	24.41	31.48	265	1.09	7	4618.4	25.41
1005	5.27	25.5	32.41	266	1.03	1	4623	26.5
1006	5.71	26.29	33.16	267	0.92	2	4627.6	27.29
1030	6.97	25.32	31.07	268	0.93	3	4738	26.32
990	5.32	25.19	31.31	269	0.99	4	4554	26.19
1010	5.97	25.26	30.8	270	0.89	5	4646	26.26
1005	5	25.58	30.91	271	0.99	6	4623	26.58
1000	5.81	25.13	30.08	272	0.89	7	4600	26.13
995	5.73	24.03	29.12	273	0.99	1	4577	25.03
999	5.68	24.3	28.69	274	0.97	2	4595.4	25.3
1001	5.84	23.8	28.61	275	0.95	3	4604.6	24.8
1002	5.77	23.9	29.13	276	1.12	4	4609.2	24.9
1004	5	24.41	31.48	277	1	5	4618.4	25.41
1005	5.27	25.5	32.41	278	1.21	6	4623	26.5
1006	5.71	26.29	33.16	279	1.09	7	4627.6	27.29
1030	6.97	25.32	31.07	280	1.03	1	4738	26.32
990	5.32	25.19	31.31	281	0.92	2	4554	26.19
1010	5.97	25.26	30.8	282	0.93	3	4646	26.26
1005	5	25.58	30.91	283	0.99	4	4623	26.58
1000	5.81	25.13	30.08	284	0.89	5	4600	26.13
995	5.73	24.03	29.12	285	0.99	6	4577	25.03
999	5.68	24.3	28.69	286	0.97	7	4595.4	25.3
1001	5.84	23.8	28.61	287	0.95	1	4604.6	24.8
1002	5.77	23.9	29.13	288	1.12	2	4609.2	24.9
1004	5	24.41	31.48	289	1	3	4618.4	25.41
1005	5.27	25.5	32.41	290	1.21	4	4623	26.5
1006	5.71	26.29	33.16	291	1.09	5	4627.6	27.29
990	5.32	25.19	31.31	292	1.03	6	4554	26.19
1010	5.97	25.26	30.8	293	0.92	7	4646	26.26
1005	5	25.58	30.91	294	0.93	1	4623	26.58
1000	5.81	25.13	30.08	295	0.99	2	4600	26.13
995	5.73	24.03	29.12	296	0.89	3	4577	25.03
999	5.68	24.3	28.69	297	0.99	4	4595.4	25.3
1001	5.84	23.8	28.61	298	0.97	5	4604.6	24.8
1002	5.77	23.9	29.13	299	0.95	6	4609.2	24.9
1004	5	24.41	31.48	300	1.12	7	4618.4	25.41
1005	5.27	25.5	32.41	301	1	1	4623	26.5
1006	5.71	26.29	33.16	302	1.21	2	4627.6	27.29
1030	6.97	25.32	31.07	303	1.09	3	4738	26.32
990	5.32	25.19	31.31	304	1.03	4	4554	26.19
1010	5.97	25.26	30.8	305	0.92	5	4646	26.26
1005	5	25.58	30.91	306	0.93	6	4623	26.58
1000	5.81	25.13	30.08	307	0.99	7	4600	26.13
995	5.73	24.03	29.12	308	0.89	1	4577	25.03
999	5.68	24.3	28.69	309	0.99	2	4595.4	25.3
1001	5.84	23.8	28.61	310	0.89	3	4604.6	24.8
1002	5.77	23.9	29.13	311	0.99	4	4609.2	24.9
1004	5	24.41	31.48	312	0.97	5	4618.4	25.41
1005	5.27	25.5	32.41	313	0.95	6	4623	26.5
1006	5.71	26.29	33.16	314	1.12	7	4627.6	27.29
1005	5.27	25.5	32.41	315	1	1	4623	26.5
1006	5.71	26.29	33.16	316	1.21	2	4627.6	27.29
1030	6.97	25.32	31.07	317	1.09	3	4738	26.32
990	5.32	25.19	31.31	318	1.03	4	4554	26.19
1010	5.97	25.26	30.8	319	0.92	5	4646	26.26
1005	5	25.58	30.91	320	0.93	6	4623	26.58
1000	5.81	25.13	30.08	321	0.99	7	4600	26.13
995	5.73	24.03	29.12	322	0.89	1	4577	25.03
999	5.68	24.3	28.69	323	0.99	2	4595.4	25.3
1001	5.84	23.8	28.61	324	0.89	3	4604.6	24.8
1002	5.77	23.9	29.13	325	0.99	4	4609.2	24.9
1004	5	24.41	31.48	326	0.97	5	4618.4	25.41
1005	5.27	25.5	32.41	327	0.95	6	4623	26.5
1006	5.71	26.29	33.16	328	1.12	7	4627.6	27.29
1005	5	25.58	30.91	329	1	1	4623	26.58
1000	5.81	25.13	30.08	330	1.21	2	4600	26.13
995	5.73	24.03	29.12	331	1.09	3	4577	25.03
999	5.68	24.3	28.69	332	1.03	4	4595.4	25.3
1001	5.84	23.8	28.61	333	0.92	5	4604.6	24.8
1002	5.77	23.9	29.13	334	0.93	6	4609.2	24.9
1004	5	24.41	31.48	335	0.99	7	4618.4	25.41
1005	5.27	25.5	32.41	336	0.89	1	4623	26.5
1006	5.71	26.29	33.16	337	0.99	2	4627.6	27.29
1030	6.97	25.32	31.07	338	0.97	3	4738	26.32
990	5.32	25.19	31.31	339	0.95	4	4554	26.19
1010	5.97	25.26	30.8	340	1.12	5	4646	26.26
1005	5	25.58	30.91	341	1	6	4623	26.58
1000	5.81	25.13	30.08	342	1.21	7	4600	26.13
995	5.73	24.03	29.12	343	1.09	1	4577	25.03
999	5.68	24.3	28.69	344	1.03	2	4595.4	25.3
1001	5.84	23.8	28.61	345	0.92	3	4604.6	24.8
1002	5.77	23.9	29.13	346	0.93	4	4609.2	24.9
1004	5	24.41	31.48	347	0.99	5	4618.4	25.41
1005	5.27	25.5	32.41	348	0.89	6	4623	26.5
1006	5.71	26.29	33.16	349	0.99	7	4627.6	27.29
1030	6.97	25.32	31.07	350	0.97	1	4738	26.32
990	5.32	25.19	31.31	351	0.95	2	4554	26.19
1010	5.97	25.26	30.8	352	1.12	3	4646	26.26
1005	5	25.58	30.91	353	1	4	4623	26.58
1000	5.81	25.13	30.08	354	1.21	5	4600	26.13
995	5.73	24.03	29.12	355	1.09	6	4577	25.03
999	5.68	24.3	28.69	356	1.03	7	4595.4	25.3
1001	5.84	23.8	28.61	357	0.92	1	4604.6	24.8
1002	5.77	23.9	29.13	358	0.93	2	4609.2	24.9
1004	5	24.41	31.48	359	0.99	3	4618.4	25.41
1005	5.27	25.5	32.41	360	0.89	4	4623	26.5
1006	5.71	26.29	33.16	361	0.99	5	4627.6	27.29
1030	6.97	25.32	31.07	362	0.89	6	4738	26.32
990	5.32	25.19	31.31	363	0.99	7	4554	26.19
1010	5.97	25.26	30.8	364	0.97	1	4646	26.26
990	5.32	25.19	31.31	365	0.89	1	4554	26.19
1010	5.97	25.26	30.8	366	0.99	2	4646	26.26
1005	5	25.58	30.91	367	0.97	3	4623	26.58
1000	5.81	25.13	30.08	368	0.95	4	4600	26.13
995	5.73	24.03	29.12	369	1.12	5	4577	25.03
999	5.68	24.3	28.69	370	1	6	4595.4	25.3
1001	5.84	23.8	28.61	371	1.21	7	4604.6	24.8
1002	5.77	23.9	29.13	372	1.09	1	4609.2	24.9
1004	5	24.41	31.48	373	1.03	2	4618.4	25.41
1005	5.27	25.5	32.41	374	0.92	3	4623	26.5
1006	5.71	26.29	33.16	375	0.93	4	4627.6	27.29
1030	6.97	25.32	31.07	376	0.99	5	4738	26.32
990	5.32	25.19	31.31	377	0.89	6	4554	26.19
1010	5.97	25.26	30.8	378	0.99	7	4646	26.26
1005	5	25.58	30.91	379	0.89	1	4623	26.58
1000	5.81	25.13	30.08	380	0.99	2	4600	26.13
995	5.73	24.03	29.12	381	0.97	3	4577	25.03
999	5.68	24.3	28.69	382	0.95	4	4595.4	25.3
1001	5.84	23.8	28.61	383	1.12	5	4604.6	24.8
1002	5.77	23.9	29.13	384	1	6	4609.2	24.9
1004	5	24.41	31.48	385	1.21	7	4618.4	25.41
1005	5.27	25.5	32.41	386	1.09	1	4623	26.5
1006	5.71	26.29	33.16	387	1.03	2	4627.6	27.29
1030	6.97	25.32	31.07	388	0.92	3	4738	26.32
990	5.32	25.19	31.31	389	0.93	4	4554	26.19
1010	5.97	25.26	30.8	390	0.99	5	4646	26.26
1005	5	25.58	30.91	391	0.89	6	4623	26.58
1000	5.81	25.13	30.08	392	0.99	7	4600	26.13
995	5.73	24.03	29.12	393	0.97	1	4577	25.03
999	5.68	24.3	28.69	394	0.95	2	4595.4	25.3
1001	5.84	23.8	28.61	395	1.12	3	4604.6	24.8
1002	5.77	23.9	29.13	396	1	4	4609.2	24.9
1004	5	24.41	31.48	397	1.21	5	4618.4	25.41
1005	5.27	25.5	32.41	398	1.09	6	4623	26.5
1006	5.71	26.29	33.16	399	1.03	7	4627.6	27.29
1030	6.97	25.32	31.07	400	0.92	1	4738	26.32
990	5.32	25.19	31.31	401	0.93	2	4554	26.19
1010	5.97	25.26	30.8	402	0.99	3	4646	26.26
1005	5	25.58	30.91	403	0.89	4	4623	26.58
1000	5.81	25.13	30.08	404	0.99	5	4600	26.13
995	5.73	24.03	29.12	405	0.97	6	4577	25.03
999	5.68	24.3	28.69	406	0.95	7	4595.4	25.3
1001	5.84	23.8	28.61	407	1.12	1	4604.6	24.8
1002	5.77	23.9	29.13	408	1	2	4609.2	24.9
1004	5	24.41	31.48	409	1.21	3	4618.4	25.41
1005	5.27	25.5	32.41	410	1.09	4	4623	26.5
1006	5.71	26.29	33.16	411	1.03	5	4627.6	27.29
990	5.32	25.19	31.31	412	0.92	6	4554	26.19
1010	5.97	25.26	30.8	413	0.93	7	4646	26.26
1005	5	25.58	30.91	414	0.99	1	4623	26.58
1000	5.81	25.13	30.08	415	0.89	2	4600	26.13
995	5.73	24.03	29.12	416	0.99	3	4577	25.03
999	5.68	24.3	28.69	417	0.89	4	4595.4	25.3
1001	5.84	23.8	28.61	418	0.99	5	4604.6	24.8
1002	5.77	23.9	29.13	419	0.97	6	4609.2	24.9
1004	5	24.41	31.48	420	0.95	7	4618.4	25.41
1005	5.27	25.5	32.41	421	1.12	1	4623	26.5
1006	5.71	26.29	33.16	422	1	2	4627.6	27.29
1030	6.97	25.32	31.07	423	1.21	3	4738	26.32
990	5.32	25.19	31.31	424	1.09	4	4554	26.19
1010	5.97	25.26	30.8	425	1.03	5	4646	26.26
1005	5	25.58	30.91	426	0.92	6	4623	26.58
1000	5.81	25.13	30.08	427	0.93	7	4600	26.13
995	5.73	24.03	29.12	428	0.99	1	4577	25.03
999	5.68	24.3	28.69	429	0.89	2	4595.4	25.3
1001	5.84	23.8	28.61	430	0.99	3	4604.6	24.8
1002	5.77	23.9	29.13	431	0.89	4	4609.2	24.9
1004	5	24.41	31.48	432	0.99	5	4618.4	25.41
1005	5.27	25.5	32.41	433	0.97	6	4623	26.5
1006	5.71	26.29	33.16	434	0.95	7	4627.6	27.29
1005	5	25.58	30.91	435	1.12	1	4623	26.58
1000	5.81	25.13	30.08	436	1	2	4600	26.13
995	5.73	24.03	29.12	437	1.21	3	4577	25.03
999	5.68	24.3	28.69	438	1.09	4	4595.4	25.3
1001	5.84	23.8	28.61	439	1.03	5	4604.6	24.8
1002	5.77	23.9	29.13	440	0.92	6	4609.2	24.9
1004	5	24.41	31.48	441	0.93	7	4618.4	25.41
1005	5.27	25.5	32.41	442	0.99	1	4623	26.5
1006	5.71	26.29	33.16	443	0.89	2	4627.6	27.29
1030	6.97	25.32	31.07	444	0.99	3	4738	26.32
990	5.32	25.19	31.31	445	0.97	4	4554	26.19
1010	5.97	25.26	30.8	446	0.95	5	4646	26.26
1005	5	25.58	30.91	447	1.12	6	4623	26.58
1000	5.81	25.13	30.08	448	1	7	4600	26.13
995	5.73	24.03	29.12	449	1.21	1	4577	25.03
999	5.68	24.3	28.69	450	1.09	2	4595.4	25.3
1001	5.84	23.8	28.61	451	1.03	3	4604.6	24.8
1002	5.77	23.9	29.13	452	0.92	4	4609.2	24.9
1004	5	24.41	31.48	453	0.93	5	4618.4	25.41
1005	5.27	25.5	32.41	454	0.99	6	4623	26.5
1006	5.71	26.29	33.16	455	0.89	7	4627.6	27.29
1030	6.97	25.32	31.07	456	0.99	1	4738	26.32
990	5.32	25.19	31.31	457	0.97	2	4554	26.19
1010	5.97	25.26	30.8	458	0.95	3	4646	26.26
1005	5	25.58	30.91	459	1.12	4	4623	26.58
1000	5.81	25.13	30.08	460	1	5	4600	26.13
995	5.73	24.03	29.12	461	1.21	6	4577	25.03
